pair_id,jd_file,resume_file,category,jd_position,jd_company,jd_competition,expected_match_level
edu_001,jds/edu_001_jd.md,resumes/edu_001_resume.md,学历_985_AI,AI算法工程师,字节跳动,0.95,high
edu_002,jds/edu_002_jd.md,resumes/edu_002_resume.md,学历_211_AI,AI算法工程师,字节跳动,0.95,medium
edu_003,jds/edu_003_jd.md,resumes/edu_003_resume.md,学历_双非_AI,AI算法工程师,字节跳动,0.95,medium-low
edu_004,jds/edu_004_jd.md,resumes/edu_004_resume.md,学历_海外Top_AI,AI算法工程师,字节跳动,0.95,high
edu_005,jds/edu_005_jd.md,resumes/edu_005_resume.md,学历_985_前端,前端开发工程师,美团,0.65,high
edu_006,jds/edu_006_jd.md,resumes/edu_006_resume.md,学历_211_前端,前端开发工程师,美团,0.65,medium
edu_007,jds/edu_007_jd.md,resumes/edu_007_resume.md,学历_双非_前端,前端开发工程师,美团,0.65,medium-low
edu_008,jds/edu_008_jd.md,resumes/edu_008_resume.md,学历_985_产品,产品经理,腾讯,0.75,high
edu_009,jds/edu_009_jd.md,resumes/edu_009_resume.md,学历_双非_产品,产品经理,腾讯,0.75,medium-low
edu_010,jds/edu_010_jd.md,resumes/edu_010_resume.md,学历_211_运营,用户运营,小红书,0.45,medium
int_001,jds/int_001_jd.md,resumes/int_001_resume.md,实习_大厂_AI,AI算法工程师,字节跳动,0.95,high
int_002,jds/int_002_jd.md,resumes/int_002_resume.md,实习_独角兽_AI,AI算法工程师,字节跳动,0.95,medium-high
int_003,jds/int_003_jd.md,resumes/int_003_resume.md,实习_无_AI,AI算法工程师,字节跳动,0.95,low
int_004,jds/int_004_jd.md,resumes/int_004_resume.md,实习_大厂_前端,前端开发工程师,美团,0.65,high
int_005,jds/int_005_jd.md,resumes/int_005_resume.md,实习_无_前端,前端开发工程师,美团,0.65,low
int_006,jds/int_006_jd.md,resumes/int_006_resume.md,实习_大厂_产品,产品经理,腾讯,0.75,high
int_007,jds/int_007_jd.md,resumes/int_007_resume.md,实习_无_产品,产品经理,腾讯,0.75,low
int_008,jds/int_008_jd.md,resumes/int_008_resume.md,实习_无_运营,用户运营,小红书,0.45,low
prj_001,jds/prj_001_jd.md,resumes/prj_001_resume.md,项目_完整_AI,AI算法工程师,字节跳动,0.95,high
prj_002,jds/prj_002_jd.md,resumes/prj_002_resume.md,项目_课程_AI,AI算法工程师,字节跳动,0.95,medium-low
prj_003,jds/prj_003_jd.md,resumes/prj_003_resume.md,项目_想法_AI,AI算法工程师,字节跳动,0.95,low
prj_004,jds/prj_004_jd.md,resumes/prj_004_resume.md,项目_完整_前端,前端开发工程师,美团,0.65,high
soft_001,jds/soft_001_jd.md,resumes/soft_001_resume.md,软技能_高能力,AI算法工程师,字节跳动,0.95,unknown
soft_002,jds/soft_002_jd.md,resumes/soft_002_resume.md,软技能_低能力,AI算法工程师,字节跳动,0.95,unknown
soft_003,jds/soft_003_jd.md,resumes/soft_003_resume.md,软技能_无数据,产品经理,腾讯,0.75,unknown
pln_001,jds/pln_001_jd.md,resumes/pln_001_resume.md,润色_关键词缺失,AI算法工程师,字节跳动,0.95,unknown
pln_002,jds/pln_002_jd.md,resumes/pln_002_resume.md,润色_技术术语,产品经理,腾讯,0.75,unknown
pln_003,jds/pln_003_jd.md,resumes/pln_003_resume.md,润色_被动表达,用户运营,小红书,0.45,unknown
